% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, further/more values", seed=42, Sat Nov 15 17:38:47 2025, <python>{}</python>
1 50 3.5044111194228567 1.0000250003125026 -3.976402327499457 -3.9764023274994571e+00 -0.20703713482221503 -0.19402955190037663 0.010390411918542342 -0.21154407091133512 nan   
2 100 5.448337500738548 1.269836071564466 -3.976402327499457 -2.5416621847702697e-01 -0.20746203742161218 -0.19780133031966404 0.00949027461332752 -0.21382046261408388 nan   
3 150 7.181279100628661 1.6560622819599007 -3.976402327499457 -3.9764023274994571e+00 -0.2105890109932439 -0.1859912615300385 0.038624433382816264 -0.240818541991566 nan   
4 200 6.2328565906600755 1.357315889843605 -3.976402327499457 -3.9764023274994571e+00 -0.21199189526084442 -0.19780133031966404 0.03832455781024616 -0.24401040078688396 nan   
5 250 6.68014770289028 1.57922057095687 -3.976402327499457 -3.9764023274994571e+00 -0.2184936312306031 -0.193293365936534 0.048999991276601484 -0.2596108503314965 nan   
6 300 5.714152417139912 2.4565664628213226 -3.976402327499457 -3.9764023274994571e+00 -0.2206448542595744 -0.20007011579915734 0.03961703021145688 -0.25450637307409363 nan   
7 350 4.731709641063554 4.202988823300963 -3.976402327499457 -3.9764023274994571e+00 -0.2557278590212684 -0.21112433111280104 3.76151298463682 -3.9764023274994567 nan   
8 400 5.394704472741787 3.406102343446867 -3.976402327499457 -3.9764023274994571e+00 -0.2493548980590774 -0.21112433111280104 3.7584088295140914 -3.9764023274994558 nan   
9 450 4.685355697812092 4.914920051268675 -3.976402327499457 -3.9764023274994571e+00 -0.22673627558516166 -0.21112433111280104 3.7584088295140914 -3.9764023274994558 nan   
10 500 4.660934301750229 4.477012775601826 -3.976402327499457 -3.9764023274994571e+00 -3.9764023274994558 -0.21112433111280104 3.7615759109534577 -3.976402327499457 nan   
11 550 4.2621793127597245 4.756524021036597 -3.976402327499457 -3.9764023274994571e+00 -3.9764023274994567 -0.21265467816675263 3.7583847827528243 -3.976402327499457 nan   
12 600 4.173198720330186 6.262969467305138 -3.976402327499457 -3.9764023274994571e+00 -3.976402327499457 -0.21293984507662883 4.440892098500626e-16 -3.976402327499457 nan   
13 650 3.697313886697414 4.836901763751891 -3.976402327499457 -3.9764023274994571e+00 -3.976402327499457 -0.21488934286263675 0.0 -3.976402327499457 nan   
