% # columns="iteration, evaluation, void, void, void, xmean", seed=42, Sat Nov 15 17:38:47 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 50 0 0 0 8.391767929290149 29.25614012180833
2 100 0 0 0 4.421493911646106 29.93057997923725
3 150 0 0 0 -0.16911495130341941 29.301159360204004
4 200 0 0 0 0.37426151188640533 28.90756733407151
5 250 0 0 0 1.2733972493424037 27.185516902233836
6 300 0 0 0 1.0893161184089903 27.959775330184332
7 350 0 0 0 1.1410253362340004 27.73429759117245
8 400 0 0 0 1.7215520877762924 26.40482465547685
9 450 0 0 0 1.7287333309718576 26.230631187338343
10 500 0 0 0 1.9461124195617816 25.530922963824196
11 550 0 0 0 1.9578870394700447 25.233860817948255
12 600 0 0 0 1.8766169145613496 25.31145468887641
13 650 0 0 0 1.8911584234756855 25.16822709115783
13 650 0 0 0 1.8911584234756855 25.16822709115783
