% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sigma_vec.scaling*sqrt(diag(C))", seed=42, Sat Nov 15 17:38:47 2025, <python>{}</python>
1 50 3.5044111194228567 0 0 4.093241700134558 3.589448716082172
2 100 5.448337500738548 0 0 8.263835016066789 5.6203250589698
3 150 7.181279100628661 0 0 8.98466316183444 7.022508581963809
4 200 6.2328565906600755 0 0 3.3001019785155425 5.182281139822985
5 250 6.68014770289028 0 0 2.2285968438402306 5.345486675936349
6 300 5.714152417139912 0 0 1.3874491874913117 4.854148780858132
7 350 4.731709641063554 0 0 1.126254614509921 3.039249628246005
8 400 5.394704472741787 0 0 1.1698208405249224 4.469544324031685
9 450 4.685355697812092 0 0 0.7442666866208644 2.688606918057219
10 500 4.660934301750229 0 0 0.5232541434570477 2.0200350268872316
11 550 4.2621793127597245 0 0 0.30217202994025505 1.4793181920013099
12 600 4.173198720330186 0 0 0.22301416471306126 1.0057905087061116
13 650 3.697313886697414 0 0 0.15769518578330743 0.7087525886897884
13 650 3.697313886697414 0 0 0.15769518578330743 0.7087525886897884
