% # columns="iter, evals, sigma, 0, fitness, xbest" seed=42, Sat Nov 15 17:38:47 2025, <python>{}</python>
1 50 3.5044111194228567 0 -3.976402327499457 2.1407646877307673 32.46576915658404
2 100 5.448337500738548 0 -0.254166218477027 0.0019071092032703694 30.63120052608447
3 150 7.181279100628661 0 -3.976402327499457 2.349347635960787 27.0781645824977
4 200 6.2328565906600755 0 -3.976402327499457 2.317415891132303 30.226398125015002
5 250 6.68014770289028 0 -3.976402327499457 2.0871851812433126 32.023116141903145
6 300 5.714152417139912 0 -3.976402327499457 1.5725010213885406 37.19828143240243
7 350 4.731709641063554 0 -3.976402327499457 1.6329446033067456 22.449079590814765
8 400 5.394704472741787 0 -3.976402327499457 2.10889946041551 29.887256440853328
9 450 4.685355697812092 0 -3.976402327499457 1.9746566465330058 24.32542263135383
10 500 4.660934301750229 0 -3.976402327499457 1.6806257452146416 25.137555918113495
11 550 4.2621793127597245 0 -3.976402327499457 2.1187452110451286 24.22091496211248
12 600 4.173198720330186 0 -3.976402327499457 1.8922318864215082 23.662470232635968
13 650 3.697313886697414 0 -3.976402327499457 1.8852215128298908 24.877533543523924
13 650 3.697313886697414 0 -3.976402327499457 1.8852215128298908 24.877533543523924
